=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2021.04.22 11:31:05 =~=~=~=~=~=~=~=~=~=~=~=
0,531,800,404,10,498,
0,524,838,463,9,495,
0,519,896,480,9,488,
0,514,878,474,9,483,StartUp!
126,566,901,451,20,489,
0,560,902,448,19,486,
0,558,888,444,19,483,
0,552,880,440,19,480,
0,548,867,438,19,476,
0,543,857,435,19,488,
0,612,847,432,19,484,
0,608,836,429,19,481,
0,601,830,425,19,478,
0,595,819,423,19,473,
0,588,807,418,19,468,
0,581,795,414,18,463,
0,575,888,441,18,459,
0,569,905,435,18,455,
0,562,896,432,18,450,
0,556,877,427,17,446,
0,550,862,423,18,448,
0,600,848,418,17,502,
0,603,835,414,17,496,
0,595,822,409,17,490,
0,588,812,406,17,485,
0,580,799,402,17,480,
0,574,839,432,17,475,
0,567,903,432,16,470,
0,560,904,427,16,465,
0,553,883,423,15,460,
0,547,868,419,15,455,
0,542,855,415,15,492,
0,600,840,411,15,487,
0,591,827,408,15,481,
0,584,814,403,15,476,
0,577,802,399,15,471,
0,571,831,398,15,468,
0,568,903,430,15,463,
0,560,906,425,15,459,
0,553,892,421,15,454,
0,547,874,416,15,449,
0,542,860,413,15,461,
0,622,846,408,15,457,
0,613,831,404,15,452,
0,606,819,400,17,448,
0,600,807,398,17,443,
0,592,795,394,20,439,
0,585,899,443,20,435,
0,578,907,438,20,430,
0,571,896,433,19,427,
0,564,876,428,19,423,
1,558,863,424,19,491,
1,625,851,420,19,484,
3,617,838,415,19,480,
3,609,824,412,21,473,
3,601,812,408,22,468,
4,593,799,404,22,465,
5,587,892,481,33,460,
6,579,906,475,32,455,
6,575,903,472,31,451,
6,568,883,467,31,446,
7,561,867,462,31,482,
7,630,854,456,31,505,
7,620,839,451,31,499,
7,612,827,448,31,494,
7,604,814,443,33,487,
7,596,804,439,32,483,
7,590,859,496,38,478,
8,583,904,493,37,472,
8,575,907,487,36,467,
8,568,889,483,36,463,
9,562,872,478,35,460,
8,633,859,472,35,534,
9,624,844,468,35,527,
8,617,831,463,35,521,
8,609,818,460,35,515,
8,601,806,455,35,510,
9,594,847,451,35,504,
9,587,903,496,35,498,
8,579,904,491,34,493,
8,573,888,486,34,487,
8,567,872,480,34,483,
8,560,859,476,33,536,
9,633,844,471,33,529,
8,625,831,465,33,524,
8,617,817,461,33,519,
7,609,805,455,32,513,
7,601,793,453,43,508,
7,596,900,518,42,502,
7,588,905,512,41,496,
7,582,888,505,41,492,
7,575,871,500,40,486,
7,568,857,496,40,533,
7,630,844,489,39,526,
7,622,830,484,39,519,
7,614,819,480,39,515,
7,606,807,475,39,508,
7,598,796,470,39,504,
7,591,892,487,45,497,
7,583,905,483,44,493,
7,576,896,477,44,487,
7,569,876,473,44,483,
7,565,862,468,43,496,
7,624,847,463,42,506,
7,615,834,460,42,499,
7,607,821,455,41,495,
7,599,808,450,41,489,
6,591,796,446,41,483,
6,583,891,481,44,479,
6,577,903,475,43,473,
7,570,900,470,43,468,
6,563,880,465,42,463,
6,557,865,460,41,491,
6,627,851,455,41,519,
6,619,838,451,41,513,
6,611,824,446,40,508,
6,604,812,443,39,502,
6,597,799,439,39,496,
5,590,855,435,39,491,
6,583,903,483,39,486,
6,575,906,478,39,480,
6,569,888,472,39,476,
5,563,871,467,38,471,
5,562,861,463,38,520,
5,619,847,458,38,515,
4,611,833,454,37,508,
5,603,820,448,37,504,
4,595,807,444,36,499,
4,588,796,440,37,494,
4,581,902,484,36,487,
4,575,909,480,36,483,
4,569,908,475,35,478,
4,563,886,470,35,473,
4,556,871,465,35,518,
4,619,856,460,35,512,
4,611,843,455,35,505,
4,603,829,451,34,500,
4,595,819,446,34,495,
3,588,807,441,34,489,
